Country,Year,Population,GDP (USD),Total Emissions,CO2 Agriculture,CO2 Buildings,CO2 Fuel Exploitation,CO2 Industrial Combustion,CO2 Power Industry,CO2 Processes,CO2 Transport,CO2 Waste,CH4 Agriculture,CH4 Buildings,CH4 Fuel Exploitation,CH4 Industrial Combustion,CH4 Power Industry,CH4 Processes,CH4 Transport,CH4 Waste ,F-Gases Processes,N2O Agriculture,N2O Buildings,N2O Fuel Exploitation,N2O Industrial Combustion,N2O Power Industry,N2O Processes,N2O Transport,N2O Waste
Afghanistan,2010,28189672,15856668496,30.19093931,,0.528863888,0.021928202,1.924782858,2.11005542,0.157625141,3.343026629,,12.92169009,0.141529395,0.758219226,0.005574283,0.002234944,,0.021719091,4.298406697,0.311941629,3.19094294,0.030495768,0.00272038,0.008022111,0.005160302,0.073285418,0.053297984,0.279416919
Afghanistan,2011,29249157,17805098367,34.47027741,,0.820581193,0.031479424,3.638331829,2.663710633,0.163922849,4.482588426,,12.84957409,0.144320651,1.152074137,0.010238308,0.002838085,,0.025241613,4.438312097,0.314093982,3.234767079,0.033794149,0.002805733,0.01472759,0.006876902,0.090121046,0.061677487,0.288200112
Afghanistan,2012,30466479,19907329906,32.464602,0.062857131,0.738340698,0.030584895,2.87914819,2.299730865,0.245510923,3.920413804,,12.40153612,0.147092515,1.037154289,0.008197583,0.002641407,,0.02236049,4.613407382,0.320281128,3.24770353,0.030925339,0.002872793,0.011733116,0.00614751,0.083209374,0.058558438,0.294194481
Afghanistan,2013,31541209,20146416876,30.89995414,0.055157133,0.668259546,0.03013845,2.868673071,2.116541821,0.318365113,2.633938937,,12.17029997,0.166929474,1.089098447,0.007758723,0.002585358,,0.014952292,4.787188581,0.329182522,3.178837143,0.030181395,0.002995494,0.011141552,0.006207614,0.067821502,0.035874,0.307826
Afghanistan,2014,32716210,20497128600,31.21444607,0.084490461,0.597181046,0.164408981,3.057026524,2.162337455,0.26914448,1.945097442,,12.47245542,0.169885053,1.179485009,0.008863208,0.00261484,,0.010278811,4.945446167,0.358812736,3.327819331,0.02800193,0.003153481,0.012623581,0.006584193,0.062193384,0.027116796,0.319425732
Afghanistan,2015,33753499,19134221745,31.20849536,0.116966646,0.903331638,0.344863289,2.394270502,2.33268667,0.220094629,2.407381465,,11.89211058,0.173848423,1.090534891,0.006694498,0.002211612,,0.013805838,5.09300948,0.396512663,3.344052611,0.029669257,0.003336547,0.009564143,0.006285378,0.064715034,0.031889608,0.330659958
Afghanistan,2016,34636207,18116572399,30.56723038,0.162799971,0.712071323,0.376547292,2.408196815,2.310097154,0.239605819,1.727949933,,11.54135976,0.176389805,1.264350334,0.00672867,0.00207588,,0.010013992,5.23629037,0.45237556,3.475352107,0.027689359,0.003416881,0.009567172,0.006760848,0.056929036,0.022729025,0.337933273
Afghanistan,2017,35643418,18753456507,31.77300686,0.310880897,0.604791941,0.26452871,2.926521146,2.459108828,0.233933628,1.747122392,,11.19761175,0.179360116,1.513669554,0.00863935,0.002134903,,0.009560419,5.376539104,0.50747571,3.956206155,0.027644143,0.003486219,0.012267547,0.007571127,0.057783211,0.021496115,0.344673892
Afghanistan,2018,36686784,18053222735,31.43983977,0.160914257,0.692528888,0.190339778,2.412385296,2.168156656,0.246178317,2.258401121,,11.46877338,0.177625393,1.646369245,0.006789711,0.001916419,,0.012544047,5.506552308,0.574910306,3.428415718,0.029218652,0.003542693,0.009737624,0.00582653,0.061103538,0.026582504,0.351027388
Afghanistan,2019,37769499,18799444415,30.32285095,0.15043807,0.567869348,0.158017472,2.369205763,2.055240677,0.247081964,1.900048946,,11.12295706,0.180750074,1.499171838,0.006995991,0.001926277,,0.011161547,5.637233829,0.634376187,3.29567596,0.02854149,0.003633099,0.009988184,0.006087033,0.057094056,0.023374056,0.355982029
Afghanistan,2020,38972230,19955929061,28.15067419,0.064795227,0.567433406,0.100331345,1.645051051,1.487993623,0.127857804,1.475218546,,11.6736586,0.183847566,0.68743863,0.004810632,0.001383618,,0.008662368,5.777398646,0.693842068,3.181710387,0.027287926,0.003703136,0.006881562,0.004239833,0.048739196,0.01813283,0.360256188
Afghanistan,2021,40099462,14266499430,28.95369671,0.054360944,0.591750788,0.10657491,1.695876335,1.529267267,0.132399738,1.528984386,,11.63701549,0.187409804,1.191251966,0.004946403,0.001350866,,0.009030469,5.91337855,0.760483506,3.131321646,0.027936664,0.003804746,0.007080518,0.00428001,0.050197884,0.018818378,0.366175434
Afghanistan,2022,41128771,,29.11787902,0.046161495,0.601277528,0.100849744,1.689139044,1.527549603,0.133618409,1.577174837,,11.58968405,0.187432699,1.168972119,0.004919305,0.001304443,,0.009179077,6.051138351,0.83383889,3.110442256,0.02803483,0.003802718,0.007045884,0.004214072,0.050631937,0.019275797,0.372191937
Albania,1970,2135479,,8.261250224,0.1133,0.992794087,0.452558487,1.372642633,0.698307465,0.49262987,0.726045179,0.000502691,1.315905243,0.167172115,1.005547596,0.001396417,0.000200905,0.00584369,0.004599792,0.209521636,0,0.581084295,0.019058298,0.001479259,0.004089724,0.000975738,0.038740073,0.004102256,0.052752775
